-24.492,-67.165
-24.492,-66.743
-24.492,-66.322
-24.492,-65.9
-24.492,-65.478
-24.492,-65.057
-24.492,-64.635
-24.463,-65.057
-24.434,-65.478
-24.405,-65.9
-24.434,-65.478
-24.463,-65.057
-24.492,-64.635
-24.579,-64.222
-24.665,-63.81
-24.751,-63.397
-24.893,-63.002
-25.035,-62.607
-25.177,-62.213
-25.371,-61.844
-25.565,-61.476
-25.759,-61.108
-26.122,-60.608
-26.485,-60.108
-26.912,-59.673
-27.34,-59.237
-27.821,-58.877
-28.303,-58.517
-28.653,-58.333
-29.003,-58.15
-29.353,-57.967
-29.723,-57.847
-30.094,-57.727
-30.464,-57.607
-30.847,-57.555
-31.229,-57.502
-31.611,-57.45
-31.996,-57.47
-32.381,-57.489
-32.765,-57.509
-33.142,-57.603
-33.519,-57.696
-33.896,-57.79
-34.255,-57.958
-34.614,-58.126
-34.973,-58.294
-35.47,-58.655
-35.967,-59.016
-36.408,-59.479
-36.849,-59.943
-37.096,-60.313
-37.343,-60.684
-37.591,-61.054
-37.784,-61.476
-37.977,-61.898
-38.17,-62.32
-38.302,-62.781
-38.435,-63.242
-38.567,-63.703
-38.634,-64.189
-38.702,-64.674
-38.769,-65.159
-38.769,-65.653
-38.769,-66.147
-38.769,-66.641
-38.702,-67.126
-38.634,-67.611
-38.567,-68.097
-38.435,-68.558
-38.302,-69.019
-38.17,-69.48
-37.977,-69.902
-37.784,-70.324
-37.591,-70.746
-37.343,-71.116
-37.096,-71.487
-36.849,-71.857
-36.408,-72.321
-35.967,-72.784
-35.47,-73.145
-34.973,-73.506
-34.614,-73.674
-34.255,-73.842
-33.896,-74.01
-33.519,-74.104
-33.142,-74.197
-32.765,-74.291
-32.381,-74.31
-31.996,-74.33
-31.611,-74.35
-31.229,-74.298
-30.847,-74.245
-30.464,-74.193
-30.094,-74.073
-29.723,-73.953
-29.353,-73.833
-29.003,-73.65
-28.653,-73.467
-28.303,-73.284
-27.821,-72.923
-27.34,-72.563
-26.912,-72.127
-26.485,-71.692
-26.122,-71.192
-25.759,-70.692
-25.565,-70.324
-25.371,-69.956
-25.177,-69.587
-25.035,-69.193
-24.893,-68.798
-24.751,-68.403
-24.665,-67.99
-24.579,-67.578
-24.492,-67.165
